email_text,url,label
"Your account has been locked. Verify now to restore access.","http://fakebank-login.com",1
"Monthly statement is ready. View it here.","https://secure.bankofamerica.com",0
"Urgent! Unusual activity detected. Confirm your identity.","http://verify-update-secure.com",1
"Here is the agenda for tomorrow’s meeting. Please review.","https://docs.google.com",0
"Claim your iPhone now! Just click the link.","http://winfreeprize.net",1
"Reminder: Timesheet submission deadline today.","https://internal.company.com",0
"Someone tried to log in to your email account. Check activity.","http://security-alerts365.com",1
"Thanks for your payment. Here is the receipt.","https://payments.stripe.com",0
"Confirm your Amazon delivery now.","http://amaz0n-support-info.com",1
"Team lunch scheduled next week. Please RSVP.","https://calendar.google.com",0
"Update your Microsoft account information now.","http://microsoftsecure-update.com",1
"Congratulations, you won a lottery! Click below.","http://lotto.claimfree.com",1
"Invoice #1247 for your recent purchase is attached.","https://billing.amazon.com",0
"Unusual login from a new device. Act immediately.","http://new-login-alert.com",1
"Here's your Dropbox link to the shared folder.","https://dropbox.com/s/example123",0
type,content,content_length,has_phishing_keywords,label
text,project update,14,0,0
text,urgent action required,22,1,1
text,invoice due next week,21,0,0
text,urgent action required,22,1,1
text,click the link below,20,1,1
text,win a prize,11,1,1
text,confirm your identity,21,1,1
text,reset your credentials,22,1,1
text,reminder: doctor's appointment,30,0,0
text,reminder: doctor's appointment,30,0,0
text,monthly report attached,23,0,0
text,family gathering this weekend,29,0,0
text,project update,14,0,0
text,update your password,20,1,1
text,project update,14,0,0
text,update your password,20,1,1
text,click the link below,20,1,1
text,confirm your identity,21,1,1
text,check the attached notes,24,0,0
text,click the link below,20,1,1
text,click the link below,20,1,1
text,thank you for your payment,26,0,0
text,unauthorized login attempt,26,1,1
text,reminder: doctor's appointment,30,0,0
text,unauthorized login attempt,26,1,1
text,security alert,14,1,1
text,lunch tomorrow?,15,0,0
text,unauthorized login attempt,26,1,1
text,your package has been shipped,29,0,0
text,security alert,14,1,1
text,reset your credentials,22,1,1
text,click the link below,20,1,1
text,click the link below,20,1,1
text,your account will be suspended,30,1,1
text,update your password,20,1,1
text,project update,14,0,0
text,win a prize,11,1,1
text,security alert,14,1,1
text,urgent action required,22,1,1
text,update your password,20,1,1
text,urgent action required,22,1,1
text,unauthorized login attempt,26,1,1
text,click the link below,20,1,1
text,thank you for your payment,26,0,0
text,lunch tomorrow?,15,0,0
text,verify your account,19,1,1
text,check the attached notes,24,0,0
text,project update,14,0,0
text,meeting at 3 PM,15,0,0
text,unauthorized login attempt,26,1,1
text,project update,14,0,0
text,reset your credentials,22,1,1
text,your account will be suspended,30,1,1
text,reminder: doctor's appointment,30,0,0
text,monthly report attached,23,0,0
text,unauthorized login attempt,26,1,1
text,click the link below,20,1,1
text,update your password,20,1,1
text,your package has been shipped,29,0,0
text,security alert,14,1,1
text,verify your account,19,1,1
text,unauthorized login attempt,26,1,1
text,check the attached notes,24,0,0
text,lunch tomorrow?,15,0,0
text,security alert,14,1,1
text,confirm your identity,21,1,1
text,project update,14,0,0
text,reset your credentials,22,1,1
text,your package has been shipped,29,0,0
text,monthly report attached,23,0,0
text,your account will be suspended,30,1,1
text,family gathering this weekend,29,0,0
text,update your password,20,1,1
text,project update,14,0,0
text,project update,14,0,0
text,security alert,14,1,1
text,thank you for your payment,26,0,0
text,confirm your identity,21,1,1
text,meeting at 3 PM,15,0,0
text,confirm your identity,21,1,1
text,monthly report attached,23,0,0
text,unauthorized login attempt,26,1,1
text,lunch tomorrow?,15,0,0
text,lunch tomorrow?,15,0,0
text,your account will be suspended,30,1,1
text,unauthorized login attempt,26,1,1
text,monthly report attached,23,0,0
text,meeting at 3 PM,15,0,0
text,reminder: doctor's appointment,30,0,0
text,thank you for your payment,26,0,0
text,unauthorized login attempt,26,1,1
text,urgent action required,22,1,1
text,monthly report attached,23,0,0
text,project update,14,0,0
text,security alert,14,1,1
text,your account will be suspended,30,1,1
text,project update,14,0,0
text,invoice due next week,21,0,0
text,security alert,14,1,1
text,lunch tomorrow?,15,0,0
text,thank you for your payment,26,0,0
text,thank you for your payment,26,0,0
text,update your password,20,1,1
text,unauthorized login attempt,26,1,1
text,family gathering this weekend,29,0,0
text,reminder: doctor's appointment,30,0,0
text,project update,14,0,0
text,lunch tomorrow?,15,0,0
text,check the attached notes,24,0,0
text,invoice due next week,21,0,0
text,verify your account,19,1,1
text,project update,14,0,0
text,urgent action required,22,1,1
text,check the attached notes,24,0,0
text,invoice due next week,21,0,0
text,meeting at 3 PM,15,0,0
text,project update,14,0,0
text,invoice due next week,21,0,0
text,urgent action required,22,1,1
text,confirm your identity,21,1,1
text,reminder: doctor's appointment,30,0,0
text,your package has been shipped,29,0,0
text,click the link below,20,1,1
text,update your password,20,1,1
text,thank you for your payment,26,0,0
text,invoice due next week,21,0,0
text,click the link below,20,1,1
text,urgent action required,22,1,1
text,project update,14,0,0
text,unauthorized login attempt,26,1,1
text,urgent action required,22,1,1
text,invoice due next week,21,0,0
text,reminder: doctor's appointment,30,0,0
text,meeting at 3 PM,15,0,0
text,meeting at 3 PM,15,0,0
text,click the link below,20,1,1
text,thank you for your payment,26,0,0
text,security alert,14,1,1
text,unauthorized login attempt,26,1,1
text,invoice due next week,21,0,0
text,security alert,14,1,1
text,security alert,14,1,1
text,reminder: doctor's appointment,30,0,0
text,family gathering this weekend,29,0,0
text,monthly report attached,23,0,0
text,confirm your identity,21,1,1
text,update your password,20,1,1
text,unauthorized login attempt,26,1,1
text,check the attached notes,24,0,0
text,project update,14,0,0
text,monthly report attached,23,0,0
text,reminder: doctor's appointment,30,0,0
text,unauthorized login attempt,26,1,1
text,confirm your identity,21,1,1
text,your account will be suspended,30,1,1
text,your package has been shipped,29,0,0
text,thank you for your payment,26,0,0
